text	label
oh wow me wey dey look out for you na me fuck up please give sọpe back the account	negative
fresh kehabi opportunity to fornicateactivity dey wey baba go do wey go make baba forget about meim not playing rough play naira	negative
that imeko video get as e be for my body sha small time dem go dey rubbish cele	negative
now now wey i renew my sub netflix don sharply collect gb i no dey do again abeg this sub must follow me enter next year ijn	negative
lol kilode now i dey my dey please dey your dey oo	negative
zaddy abeg make me happy have been burning fuel for like a month straight no power supply transformer don jappai don dey red o	negative
e go kan marry wey e mind suppose dey at peace kan dey pay debt ‍️	negative
im not going outside until the temperature is above my age kd is so freaking cold the wind sef be like say na angels dey blow am	negative
we got home and mumcy was asking what was wrong iya sha lemme alone ó with cattagh coming outta my brain im going to bed ahan its just past mumcy said wont u drop the drink in the fridge she continued ehn drop wetin na my pillow be this now o sha leeme alone	negative
this adult life eh nobody dey do christmas for person again like person no fit dash person money sef chai	negative
shebi na zanku wey i never perfect na im these hens are doing anyhow	negative
wetin these ones dey talk like this where me con stand	negative
the alcohol ive consumed in recent time though the crazy thing is e don be like water for my body i no dey high	negative
me trying to make people recite the alphabets with me without actually telling them to me a them me c them what me e them you good bruv me g them snap out of it me i them total silence e de pain me nau plis	negative
wetin be this wan naa hahaha sylvyyy this wan off me	negative
every single time wey man united get chance to climb up the table and boost top four hopes dem go mess up na wetin happen last season when we think say ole go make top four e blow am e don start again	negative
na we dey kill ourselves for this nigeria how tf will you use rope to hold your goddamm engine interstate car o where person wan see motor like this time to get a ride	negative
i hate it when i say something meaningful and pesin comment rubbish me no better thing dey to chop for this kitchen pesin chop bread bread na better thing iffah reason you	negative
e be like say na me dem cut off	negative
i don dey try find am for like decades now wetin dey occur gan gan	negative
they say out wit old and in wit newbut im not letting go of good friends like uthank u for being an incredible frndtank u so much for affecting my life positively this year n the past yearsgod bless and be wit you allu r loved by me	negative
n e w d e c a d e happy pals abuja nigeria	negative
na you wey go tell mayor congratulations hin call me to laugh about congratulations on what	negative
you are asking me how thing do you even know how i feel im madly in love with you i just hope you can see but na lie u go dey reason matter instead of you to come let me be you kids father	negative
lol o dey out dey work kpa don enter account brother go sleep cover ya head with duvet	negative
my boss is a definition of pepper them jezzzz you dont want to know what he just did for me mehn im so happy rn please help me to thank him im forever grateful dont worry fam una days go still soft	negative
wow i just posted that pic saying no girl on your list can send you k now before i know it alert don enter vtu don land and one is angry with me cause i refuse to give her my acct details had to delete it im so emotional right now i feel loved i appreciate yall	negative
my dear that one sef dey im taking myself for facials as my gift because that towel isnt touching my skin	negative
i just dey chop dey drink good lord	negative
if you love rap song go and listen to ft eriggaraw dey burst my head abeg every verse is raw even the fly gangsta album na raw unrefined	negative
yeah i just checked and i see u make burger trust me im not a beggar but my love for dis picture is bigger baby i want u to love me deeper ️or do u know tina yeah dat girl been dey disturb be wella but i no dey reason her mattersweety joor shey mo ley av a taste i mean burger	negative
coach shay you will enter and play the rest you just dey say calm down since and dem dey flog me	negative
esther dey advise mercy make she no break up with ikeshe no no say na her coin cause fightmercy dey cry ooo inside life	negative
my heart dey bleed the rest of the game better cut i don dey plan transfer lexus money	negative
i still feel na cyndi win this thing jare seyi wey dey use side wake	negative
if u like dey call everybody fool na urself u dey do we dey on our own oh no body ask u for money u just come scam us take our sleep	negative
na person wey get woman fit chop that kind food	negative
abeg help me beg maazi ighalo jude make e help my life o i dey suffer gan you too i no mind if you help me o gtbank adeyemi peter	negative
i seriously do not knw the second minute hour day week month year i will win any of and give away dey don dey post notification since but twitter will only notify me when the give away has ended	negative
terrorists re perpetrating evils in broad day light dey walk freely wit it dey wax stronger evryday coz dey av access social amenities and evn amunitionsand we d law abiding and sane citizens re d preys yet our govts stil stand against us are we cursed	negative
lol makes sense resale value for here na shey first body ni shey ac dey work cos the mechanic sef no reliable	negative
wetin i do una wey una massacre broke man account like this k for sms charges on account i barely use im done with yall	negative
managing as u are like dis dis lifeits like some of us just escorted some to dis world	negative
chai i made dis kind of post when i came on dis app o fine girl made similar post and in d same month she joined she already has more followers than me now dis is gender inequality	negative
person don dupe me oo with your exact name for twitter oo na scam oo fake account for that matter bro i just waste money for nothing oo make una help me oo you report that account na scam check it out the idiot don even block me	negative
bros me sef won be like u ooo but all d ones wey dey shoot shot to me no get sense	negative
oyaaaaaaaaaaaaaaa akure is just dry no shayo nothing nothing my people for lagos dey drink shots like dis for mall i dey here dey dullll	negative
i wonder the kind wisdom wey dey the fish head wey these people dey sell am k k for fish head‍️ isi azu	negative
biko i really dont care what part of earth you come from so kindly keep the rubbish ethnic jargon aside hungry no dey do vetting back to me talking like i have sense which im fully aware i dont ask dey know me well	negative
lmaoooooo this is what i first thought no let your anger deceive you oh before pesin smash your wife beat you up ontop and you no go fit run cuz you don lock door local man will now start begging	negative
as hin fine reach hin noh fit toast even girls wey noh reach hin level his ego sef	negative
thinking about where this life is actually driving me go school we don finish learn work we don learn still everything just hard like say person no dey alive	negative
mehn fuck this shit i need my beards to grow how many years now wetin be this rubbish now oya who can help me id pay abeg need some beard growth shit im not even joking	negative
dear e jo e help me i had naira left in my account una still come comot naira for sms chargekilode im heartbroken	negative
lmao na k people just dey use dey play like this so this life na pot of beans oh	negative
i don dey beg him no gree hear just help me beg him its just d type of his dog i want	negative
do i blame you no i sha dey road dey come kd all do na die plus make mouth again and see what ill do to you wicked somebody	negative
me to vic bro i got over pages do be swift in before am morrow also today na sunday you know how e fit be vic no be you again night go reach you go slam music run am till morning na your way na guy na you me well sha	negative
na love dey sweet you dey go so aunty chai we go love o	negative
ive seen his hand evident in my life jesus loves me like no other im amazed i can be loved this much love wey dey humble pesin	negative
haaaaa abeg o you see say i no mention hin name i no want wahala that guy fit injure person on top wenger matter	negative
lol the one in my house is already doing dey dey dey make i dey my dey i am a bad influence	negative
guys today a girl fine girl wey fine reach meal on a hungry eve gave me her iphone pro to help her hold it till she finish drinking water i wanted to run but na for motor park we de i no i go chop beating sotey i go wish i die	negative
i sha know that babe and clique get bad omen for that socialiga day na why we no get along i thank god for my life to think that i wanted to offer one a lift in my uber maybe na me for dey do thread	negative
stop following me na guy since primary school you no gree leave me kilode you and moyo i no even sabi who worse pass moyo still follow me go nysc camp	negative
a whole bole to add onions she dey do finger like say na salt she dey put for rice	negative
joe sef na ode lover boy ‍️ hard guy hard guy small sweet words baba don melt	negative
wetin de burst my head right now ehn how ole take scam all of us like this na only naija boys fbi de see bah chai	negative
lol noooo send me money all ur flexing money i nvr chop ur naira before na woman dey always chop am and dem dey defraud u on top	negative
na over sabi dey kill monkey cooking basmati rice then decided to spice it up a lil i added cinnamon ginger thyme curry and pepper now its looking like brown rice	negative
the only thing wey pain me for that mi and vector diss na say e call am lanre like say na him born am	negative
they still opened gofundme account for tacha una dey don mad for this country ohh i was legit born in a wrong country	negative
as twitter say i no fit follow back peopleagain now wetin dem gain ️	negative
i d all this trend but e funny oh una don lost me sef i d try find myself	negative
some opay drivers and too much talk sha so unprofessional we dey express wey trailer dey pass you are telling me about your ex that got pregnant the same time with your wife whats my own na trailer is coming ma pami	negative
someone should just send me money please this school thing everything na him we dey pay ehn im not doing again o	negative
boss i was fasting that day about to break fast before kickoff but i was like make i go watch my match before i get myself better thing to chop bro na after days i chop can testify	negative
turning this into a thread so i can bless your eyes more ps im the fine boy in the fourth frame you need a t r a v e l p h o t o g r a p h e r bleep my dm	negative
na work wey i go like chop be this	negative
just look at me making mouth on this day ‍️ ase i was just doing myself babe wen i dey toast don dey collect better body massage on a reg she calls it sensual massage and even promised to pay for a session for me am die o	negative
my bro you know this e be like say you sef chop am wella that year o	negative
if you be wetin you for do i sha pray the guy does the right thing which is making sure those girls are properly dealt with with the law shae una wan drag	negative
this go hard ooo albino go throw e neighbor pikin up but e no come see the pikin catch again we still de settle	negative
this matter wey dey ground hmm don tire me oo over rating na keep person like this now the lawyer wey for settle this case still no see e wig ooo oya another lawyer biko i don tire na the matter we dey try settle oo judges and lawyers wia una dey	negative
i laugh at you shit wont even fly in the home of the free not to talk of this country no go kill yourself say you dey do freedom fighter oh na only mourn dem go mourn you las las	negative
last months have been d best moments of arsenal fans life until dey came back same arsenal same stories one advice for arsenal fans make sure ur d last arsenal fan in ur lineage make sure ur not going to put ur kids through dis again in dis lyf i use god beg u	negative
omo my gender don dey reason how deh go clap their grandmother mate ontop this ps matters	negative
the fact that abdullahi is a clown and he refuses to believe is the matter we don dey settle since last week i dey court like this	negative
why you dey do like this nah this guyyou wey dey chill with buhari	negative
at least you have one me strechmark no dey booty no dey hope gaan no dey too	negative
i once went to salon for haircut so the lad was showing me beard growth cream or so said its k then i asked if i should apply now how many days before e go come e say months me after spending k na months before e come e no serious ion buy	negative
wtf why that guy dey go mark them like that them no dey vex make for ball oo damn that was dirty	negative
come and see cat wey chop pass your own but why do you guys shade mangu people na youre not being fair to us fa	negative
we dey settle matter this afternoon naso jamiu drop crates of egg come chook face for matter jamiu don ready to go now na only one egg and naira hin see who wan help us settle this one‍️	negative
omokehinde na hin you still dey panla like this only you chop am theres god o	negative
all of you on this app are hypocrites all of una dey shout but una no go shout just negodu how dem dey rape arsenal fc behind closed doors please coman console me	negative
wait people regard slimcase as a nigerian musician so any town crier that takes his shouting career to the internet and becomes popular is now termed a musician sadly na we dey cause all the shame wey these kain people dey give us una too hype them	negative
i wan change am for am buh na public place sha ah e pain me and my guys dey another table dey laugh	negative
seeee the thing no gree fine again and na so so emabinu ma i dey hear	negative
guy wetin be this you look like your holding in shit wey wan drop	negative
nothing enter people wey dem say dem go reach rd round at odds no pass first round person wey never lose under minutes in like years na one punch finish am hot tears	negative
just to let you know that if that your regularrandom knacks fall in love or wants you and you dont want e fit be your burial unto say if i cant have you nobody can have you my people say if fowl no chop e go scatter	negative
na for where we go settle matter naim person slap me for eye i no see who slap me me sef con slap the short man wey dey my side i no know say na soldier we don dey drive go barracks like this	negative
fearless don start again my dm dey open na abi wetin dey happen ah never see anything	negative
but e no go better for arsenal sha only them spoilt my beautifully cooked odds something k for don dey ready to sit for my acct now	negative
babe head wey neva reach $ worth of btc sef we don de try settle matter since	negative
another one don happen o wife talk say him husband no sabi do well naso neighbor wife talk say na lie na we want to start to dey settle for world bank like this	negative
e don happen again oh somebody use fake alert take pay bride price since morning inlaw never see alert what a wicked world nah d matter we dey settle since morning	negative
asin ehn e de pain you go see them use cake de passoya give me small cake make i chop them go say na for house people like say i no get house	negative
happy democracy say to those who preactce and still believe in true democracy for my country because last last all this old men dey use our future abeg na how many future person dey get democracy	negative
na only me dey department na me be head of unit and team member like say dem carve department for only me work wan kill me	negative
na people like this go dey spoil our integrity out there small time now ugandans no go dey rate us again	negative
my guy posted his mom picture and his friend commented o boy u self know this yeye woman she no dey like condom at all she fit drain person na the matter we dey here dey settle since	negative
stop to dey thief person tweet without giving him credit shame no dey dey u	negative
as my best friend tell me to buy am airtime na so i wan send am bastardwhy always me na so i send am to my boss wey give me order to escalate customer issue to engineer team the problem be say i never know who and how to settle it as my boss no talk anything	negative
happy new month sef don turn sour‍️ this year get as e be	negative
i went through my phone this morningi found this video omosolaa e bi like say you don dey do am no bi today i missed all house matemore blessing	negative
this one i have just bin blessing people for the kinda tweets they tweeting today is really freaking me outgod abeg use this tweet to bless me for all the blessings i have bin blessing others oooo	negative
good lord in heaven spare me bad energy and bad vibes ya allah help me i gats to use others bad situation as my prayer point so wetin dey shele to dem no go shele to me	negative
relationship wey they lead to marriageabeg where e dey pass cos i dey junction like this	negative
make i no lie you my dear deep down i like you ooo but im scared that im too good for you your reputation precedes you i dont want a stain on mine as well im a good guy but are you a good lady	negative
shey una later tune in to banger already and e never drop oh big thanks to starbukky and paj king ara+ ️ im so grateful for the love cc adebukolakolapo pajofficial	negative
i played straight from my heart for this taxify driver when the song finished he said abeg you fit play that your straight from my belle song again abeg i really feel that song	negative
omo ive been on steady data subscription since the beginning of covid i need to applaud myself and add wire wire to my nameko easy rara thank you oo week subscription na days e dey last	negative
oga make you rest when u bin leave me e be like say u just wan go downstairs but see where u end	negative
fuck up i need una to go question dis and ask grammy y de posted this coz if na wizzy b dis we no go hear word for fc hand am so disappointed in fc like dis is what u guys has been thinking all this while fuck wizzy didnt liked bb congrats at all but we didnt act	negative
lowkey we suppose sue that grammy award winning singletwearing short man you sef listen to this fire na dear na on sight if i ever catch you on why do you like hoarding music like its indomieeeennnnnnn why	negative
na wa oo what if him break the man back how wahala wan take finish with things like this	negative
imagine this weather for two abeg where una dey see love now	negative
so fuel nw na per liter bicycle no de use fuel yet wahala be like bicycle wetin de occur	negative
this guy in particular came over and refused to leave was just talking here and there made everyone uncomfortable i say na help i b wan help na so i enta one chance ‍️	negative
the peak of negligence in eksu health center is alarming worst set of workers ive met my own experience sef dey its better we know theres no health center than people dying anyhow we don dey rest ontop matter	negative
adam n eve una fvck up sha just a reminder this panties de pain joor bra sef na issue	negative
ah con dey see am like say na only me racksterly dey fuck up since on th oooooooo ayyi its unfair na una costomer care no dey even answer person thats that worst part ️️️️️️️️️️️️️️️️️️️️️	negative
and i no fit wake her to clean her up else i don enter one chance please what can i give baby to reduce the smell from her poop biko before e restrain my air flow o	negative
omoooo no reason am like that oooo e get some customers wey dey vex for me	negative
i just remember say i never wash my visitors toilet since january god abeg oo the day dem go use me clean the seat i no go fit snap evidence	negative
im broke im broke where una dey see this money its all fun and games until you are piggyvest broke	negative
na una bad belle no make me find love for abuja	negative
this days you no fit actually differentiate who actually get money and who dey broke true true all of una dey use una papa catch cruise	negative
omo if by next week i start dropping motivational quotes abeg send me money cuz e don happen e get the kind balance wey i see for my account now e fit cause depression	negative
the boys sef na superhero kinda series ‍️ na for yrs old na	negative
please oooo dehkunle help me ask uncle walter wetin i do am wey make am block mecox me self i no understand wetin be the problem	negative
person wey tell me say school na scam them don call am out as best graduating student	negative
abeg if we win wetin go happen no make me vex oh	negative
make the world just end if e wan end abi which wan is this hell lite we are currently experiencing in this part of the world like ds	negative
abegi where una d see boy friend wey d assist una financially na cos i am tired of all this broke ass niggas that never appreciate the little you give and they will not give	negative
na me this house wan kill with work any small thing tiles don dirty i will run away to go and get strength to clean you	negative
the day you line trip off na that day nepa dey leave light for hours come make you dey feel like jonah of the adugbo	negative
who sabi sabi no worry he no fit break god bless the heavenly ones mothers day	negative
invite him to come over‍️ kiss him play with him hug him cook for him to eat wen he is about leaving look him in his eyes tell him how much u love him den give him k for transport hr later call him to know if hes home den surprise him with airtime	negative
dis goes show d level of maturity n intelligent of feminine folks i respect una seriously d wife in question knows her husband n she is happy with d beautiful things in life dat comes with it which i respect her for it take a look at baba wife nah see glowing now gives a	negative
mum was talking to someone about my business and she was hyping it so much that even me sef i come dey wonder whether na this same business i dey do so happy mothers day	negative
debonairs gtgtgtgtgt dominos so na wetin una dey enjoy for this lagos	negative
na arsenal dem dey do like dis go lingard make my fpl smile	negative
see as my ticket just dey burst anyhow people con dey wonder why i no sure again sport betting is damn hard	negative
e dey always taste like paper and e no dey get oil	negative
i toast u and u say no u ask for money i say no or i didnt respondu con dey vex no b persin wey gain add mission dey pay sch fees ‍️‍️‍️ oya u self reason am nah	negative
garri was before we dey complain just now this mama call am i wan cms to eko hotel na now takeaway plate wey be before na now meat for mama put don dey sell for i no fit drink coke again but we still dey country think am na you mf	negative
life no cheap for akure again o abeg make una dey try pity us	negative
so wetin i go use my data dey do as they don ban twitter unfortunate government	negative
ok oh na like this oh like play like play until e reach everybody na this kan rough play i dey hate ohh some of the technology are made in china but u see all this deadly diseases is only made in china where exactly was the world wronged china	negative
i dey find goal for arsenal game arsenal win another dey find for game wey dem never score goal	negative
i dey hate when too much seeds dey my weed no be beans i dey pick na on top blaow again	negative
seeeee ehn the small small ones on my face gan e dey affect my self esteem i sincerely feel for them i fit ment	negative
i don go do blood test dem say na typhoid won kill me	negative
tb joshua no fit die now na wetin dey happen self this cant be true o	negative
i just dey do boss boss for one small boy for twitter until the boy said he was i wan mend am slap wey go cause headache fat cow back head be like elephant ponmo fucking years older	negative
this picture funny die con be like say dem collect biscuit for hin hand	negative
no dey disguise again i con dey think say na ugly pesin you be like me	negative
na person wey get money dey cuddle nice one sapa	negative
adda inna i checked una tickets ooo my chest dey pain be like say na aero	negative
na because of people like una una zombie president use pursue twitter	negative
ahhh u still wan fight people wey sleep their house sef dem dey go kill themabi u don quick forget lekki toll gate level u still get strength to fight	negative
dfkm abeg na normal size books na i have like uncompleted ones sha they no sweet	negative
shame is catching me to confess i once crushed on a big time oleeee she could do no wrong in my eyes until i heard d story how she was tearing race after bubu for airport tarmac after elections na den ma eyes open thank god buhari no be small spirit sef imagine	negative
up on the wahala wey nigeria get now na concerned nigeria government one word for buhari and his cabinet like lai muhammad	negative
it has been three month i havent had yam ofada rice vsop in fact good food sapa dey if you see me na cereals you dey see	negative
olá u want to de fall my hand ooo abeg u with god name no de mention that guy name near me again na abeg na	negative
abeg shey e dey pain u ni or e dey pinch u ooja werey lara je pele dear stop crying	negative
people out here already getting second dose of vaccines and im still here hunting down first dose dem say dem no gems dey give again please epp anybody knows anywhere in lagos i can get the first dose of covid vaccine please kindly refer	negative
but this guy is fine sha e con sabi snap again	negative
where do u buy ur longrich toothpaste abi una no wan carry better toothpaste brush una teeth with longrich toothpaste say good buy to teeth extraction and pains toothpaste g = g= delivery available n lagos	negative
these people just dey enjoy for amawbia site mehn no wonder dem no wan make i show since ‍️ see better local kitchens chilled drinks n all	negative
i don dey fall in love with another person ke god help me abeg boboyen yen cute gan ni nau	negative
lol face go chop till e die no worry im not even talking naija food ️	negative
i fit elbow person pikin this night abeg no near me i dey provoke	negative
everyone is but me the one wey dey pain me pass na that morning parade they way dem dey wake people up they way dem dey shout on top people head	negative
stop eet na so una shout detty detty detty last year turn horror movie lets just enjoy this december in peace and look forward to a better recession dey already sef	negative
one problem i don get since primary school i no dey hear word and i dey chop indomie sef e no do chop again wahala for who dey chop beans that time o	negative
aa i dey like this i don comot my hand for anything virtual betting	negative
pesin go dey save but money go dey leak	negative
wahala dey i don forget which department i dey and its like asuu will call off this strike tomorrow	negative
abegii make dem run tests sharply make we no go dey hear another case of weda na zoonotic disease or not	negative
its icons not minding their business for me i hope they wont drag laycon into this nonsense now ‍ while we are here celebrating youre going to step on a sleeping dogs tail i don tire for una sef ‍	negative
omo this one don pass horror film o ‍️‍️ if na rough play stop am abeg see fante na	negative
how will i tell my keeds i gained admission in and resumed university in them go con dey look me say i dey lie say i write jamb more times	negative
come ooh na every match ronald koeman go dey start pedri why pedri go come chance rigui puig just like dat make this our coach know make me dislike pedri ooh	negative
im telling u like this very painful u cant listen to some songs anymorego just dey skip the thing dey go	negative
we sha turn up if chance dey ooobut then plenty ppl sorry men in the comments section are not singu na knack dem dey find holy ghost ‍️‍️‍️	negative
small sickness i don dey chop like thief o wrong na	negative
imo i dey follow one babe talk yesterday my head just dey pain me like pretty babe no go dey smart rara	negative
im in that position right damn now something i hated with passion not seeing myself do it in a million years guess what na im i dey do now god help me pls	negative
de gea that free kick was like that dude said wait hol up yoh degea hold ma beer im crying now my wey i for use go buka chop just waste this afternoon so manu don collect	negative
when i dont have money i no dey at peace na why i dey sleep	negative
go just dey flex and even vex for us ontop our money wahala for who no get big brother oo	negative
na joke oo wetin i wan do with +	negative
i always dey pity for some people wey dey talk say them no fit dey fear god make them still dey fear human being like them ur name nah sorry them go chop yah raw flesh you don see where wife they tell husband say nah me dey behind your brokenness	negative
as paul pogba dey train bruno fernandes dey hail am real dey recognize real	negative
na this kain content i dey like sign for	negative
bro e done tal i dey wait for you ️ thank god sha dis brush my head sha go play my guy e get why	negative
seeing as rice cost for market i just dey admire that bag of rice wey dey there god bless you for your support blessed is the man that giveth than the one that taketh may gods blessings and grace be upon you always	negative
but wait on magbe with said ki eba toh jina kan le dada ori na la ma ti ro but dem no dey turn eba ontop fire i wish say na ki amala toh jina dada ori na la ma ti ro would make everything meaningful but i love you like that	negative
like play like play e don almost reach a year wey i go watch football for viewing centre trading ₦ for gb and above	negative
how far omo ologo we dey argument background like this ooo safe your boi i beg just simple question i beg how round you fit do cause me don put my client nunber on top you say you fit do round with nice tone	negative
omooo which soap dey use baff na baba has been on hits for the past few months now ive not recovered from cash app baba gave me triumphant im still tryna recover from that boomfade wan kee me	negative
hell yeah im a straight up amazing person mixture of craze intelligence and the love of christ why wouldnt i love me plus i never see person wey dey ever ready to improve on themselves like me ️	negative
youth corpers like us na na only naira dey rush us	negative
lowkey when i dey high school and teacher beat me i no dey cry bcos them no fit flog reach folashade e be like she go school of flogging	negative
boys dey hospital dey work salah meat just dey pass patient come and join me doctor me im fine maam thank you	negative
fine boys like us we no dey too rush malaria like that na malaria dey rush us	negative
me yayi zafi ina ruwanka kuma e no concern u e no concern u abeg stop bn a cule pls	negative
unilag student like us wey they stay for hostel we no too dey form na bedbugs rush us ‍️‍️‍️	negative
na lie sef i no dey do again i don see that your picture you go just make me feel inferior	negative
lol me na those advert dey vex me pass	negative
na dem dey rush us was written by inspired men of god even the bible confirmed it long before we were born	negative
please help us have the fun too na we just dey god dey our side for here	negative
but i really like the zobo i drink na god dey save pesin sha	negative
be like say na dem dey rush us o	negative
era for slayqueen don chill na level now make we sef do our shakara till this year end na pana all my guys out there fine boyz like us	negative
i want to slide in this girls dm on ig but she has like followers abeg how una dey do am me wey i no get yarns i give up	negative
the way wey slippers go cut for this lagos ehn israelites slippers dey learn work for where we dey person go waka come dey kick stone like ronaldo wey wan play free kick	negative
this same pepe wey dey do anyhow against man u see now ehn the defeat kon dey pepper me ehn like say e just happen	negative
she didnt even come with her nigga she just looked uninterested and na dem dey trip for the boy pass	negative
