ID	tweet	label
pcm_train_00024	she ws floggin me dat very day d beatin ws so much dat i try fight back nd dis man came rm nowhere omg i almost die dat daydat my head wey no correct full of koko nd my mom was there watching dat ws d last day she floggin me always sha obt i see hell return dat day	negative
pcm_train_00025	went to see mortal kombat at imax lekki e be like say subzero dey the cinema hall the main cold wey wan finish us ehn	negative
pcm_train_00026	guy i told this man my surname e shout e say taaa you get money na say my papa even grandpa made money alaye im jobless you wan make i dey buy beer every day gon meet my grandpa	negative
pcm_train_00027	i subscribe gb una no go allow am last now again una dey use una network they test my patience atleast lemme enjoy the network now even if i wont enjoy my data	negative
pcm_train_00028	a letter to my ex dear miss amaka you been tell me say ikechukwu na your brother all those years only for you to invite me come wedding come see you dey marry the same ikechukwu my chest still dey pain me till today for my leg and my abdomen region	negative
pcm_train_00029	e con be like say i no even dey do anything	negative
pcm_train_00030	no light heat come dey againand our forever tenantmosquitoes dey also do their job which kind wahala be this	negative
pcm_train_00031	fine girl = wahala and wahala no dey finish so dem dey fear us	negative
pcm_train_00032	make pple d dey very careful wit diz end of month oo month don end month don end ehhenn who tell u say month end nah pay day some pple month nah dayz abeg make una take am easy wit pple oo diz monin i hear wife dey corey wit husband ontop breakfast money	negative
pcm_train_00033	lmao hin no dey see zero na e dey see	negative
pcm_train_00034	boss bless me tonight abeg even if na any amount hungry wan finish me for where ahde	negative
pcm_train_00035	forex trading be like baba don put hand for head alot of persons make the mistake of opening multiple running trades abeg how you wan manage them without running mad	negative
pcm_train_00036	wahala be like nigeria e dey paint pesin black	negative
pcm_train_00037	where una dey see this money to chop four eggs eh this noodles looks terrible tho	negative
pcm_train_00038	if i dey play ball i dey avoid these kind people i no dey bother my sef to go mack them theyll just use you and shine	negative
pcm_train_00039	be like i came to church very early o sermon no wan end and my stomach don dey para	negative
pcm_train_00040	wahala be like bicycle ooooo kuje rain don commot person roof breeze carry roof hit person windshield spoil d person gate breeze lift roof again to spoil another person house god abeg they still dey commot money for this house	negative
pcm_train_00041	im in tears guys see how my customer is rocking her bag she made me so happy with this picture e choke abi e no choke lagos nigeria	negative
pcm_train_00042	im in tears guys see how my customer rocked her bag she made me so happy with this picture e choke abi e no choke ikeja	negative
pcm_train_00043	this work of is going to cost me more hours to complete and im not giving up not now or never ️ so many legends dey but im just trying to be another one please kindly retweet for a bother na	negative
pcm_train_00044	done turn rich friend oooooo abeg where una dey see this money	negative
pcm_train_00045	gaskiya na sha wahala na bils they call me attention seeker e choke	negative
pcm_train_00046	where una dey find this love abeg if you help me see	negative
pcm_train_00047	e dey do me like make friday just come im tired of here already	negative
pcm_train_00048	stop tell me i forget you pls that have to stop remember when you dey suffer i know come help you and u know call me enjoyment come ur side my phone no ring oh now d table don turn i don become ur enemy life	negative
pcm_train_00049	if you go to that party behind metheyll not give you rice chop and if them give you rice meat know go dey on top ami hate rubbish‍️now im just home alone looking like person wey lost her way to naija abeg who get party for there area lemme turn up please	negative
pcm_train_00050	dis boys av dual citizenshipno properties nor businesses in nigeria bt ar makin d loudest noises and ar causin problem in d country dey can leave d country anytime dey set it ablaze wt d help of sentimental apologists dey av turned some of our youths zombies wt no brains	negative
pcm_train_00051	am ur biggest fan person blow me for mouth coz of you we dey argue u and olamide who get vibes pass i argue they tell dem sey na get vibes pass before u no wetin dey happen wey don dey argue i no know wen i call the boy bastard out of anger the guy blow me	negative
pcm_train_00052	how far after the online bashing na this way una go una dey hawk our jersey like this cc	negative
pcm_train_00053	this modric goal was one real madrid goal i didnt celebrate dem just ruin handicap wey everything don set	negative
pcm_train_00054	the kind body heating wey dis geh gimme for bus now ehn unto say i look like snow white shey na my fault	negative
pcm_train_00055	one hour before you enter abuja you for don dey see good roads na where the madness of all the drivers on the road they start be that come and see speeding all im hearing is voom voom voom left and right	negative
pcm_train_00056	na so i call them for house say i don reach school ooo them come give me another bad news say i forget my meat as i dey pack my stuff meat wey i do walaha fry yesterday afternoon as i dey now ehn i no fit think because this cold sef don enter my brain	negative
pcm_train_00057	the rice wey i cook this morning no follow at all be like something dem wan give bingo	negative
pcm_train_00058	in this life bros fear women same best friend dey here dey chop her friend man buh my babe friends dey do strong head	negative
pcm_train_00059	make me regret not moving you as i was moving to take my place as a marlian oh now see you seeing heaven and i gotta wait till weekend when im less busy when before na one dm wey sound like bro are you back real inside life	negative
pcm_train_00060	na wetin de pain me for justice be that the crime don kill one person	negative
pcm_train_00061	i just no wan curse people doing this face and account thing why you dey give pesin hbp like this	negative
pcm_train_00062	na all this kind play dey make my future husband dey run im single lets be guided please	negative
pcm_train_00063	small change i lock somewhere for detty december e be like every go dey dia problem done plenty pass money make i face am head o	negative
pcm_train_00064	oh wow me wey dey look out for you na me fuck up please give sọpe back the account	negative
pcm_train_00065	fresh kehabi opportunity to fornicateactivity dey wey baba go do wey go make baba forget about meim not playing rough play naira	negative
pcm_train_00066	that imeko video get as e be for my body sha small time dem go dey rubbish cele	negative
pcm_train_00067	now now wey i renew my sub netflix don sharply collect gb i no dey do again abeg this sub must follow me enter next year ijn	negative
pcm_train_00068	lol kilode now i dey my dey please dey your dey oo	negative
pcm_train_00069	zaddy abeg make me happy have been burning fuel for like a month straight no power supply transformer don jappai don dey red o	negative
pcm_train_00070	e go kan marry wey e mind suppose dey at peace kan dey pay debt ‍️	negative
pcm_train_00071	im not going outside until the temperature is above my age kd is so freaking cold the wind sef be like say na angels dey blow am	negative
pcm_train_00072	we got home and mumcy was asking what was wrong iya sha lemme alone ó with cattagh coming outta my brain im going to bed ahan its just past mumcy said wont u drop the drink in the fridge she continued ehn drop wetin na my pillow be this now o sha leeme alone	negative
pcm_train_00073	this adult life eh nobody dey do christmas for person again like person no fit dash person money sef chai	negative
pcm_train_00074	shebi na zanku wey i never perfect na im these hens are doing anyhow	negative
pcm_train_00075	wetin these ones dey talk like this where me con stand	negative
pcm_train_00076	the alcohol ive consumed in recent time though the crazy thing is e don be like water for my body i no dey high	negative
pcm_train_00077	me trying to make people recite the alphabets with me without actually telling them to me a them me c them what me e them you good bruv me g them snap out of it me i them total silence e de pain me nau plis	negative
pcm_train_00078	wetin be this wan naa hahaha sylvyyy this wan off me	negative
pcm_train_00079	every single time wey man united get chance to climb up the table and boost top four hopes dem go mess up na wetin happen last season when we think say ole go make top four e blow am e don start again	negative
pcm_train_00080	na we dey kill ourselves for this nigeria how tf will you use rope to hold your goddamm engine interstate car o where person wan see motor like this time to get a ride	negative
pcm_train_00081	i hate it when i say something meaningful and pesin comment rubbish me no better thing dey to chop for this kitchen pesin chop bread bread na better thing iffah reason you	negative
pcm_train_00082	e be like say na me dem cut off	negative
pcm_train_00083	i don dey try find am for like decades now wetin dey occur gan gan	negative
pcm_train_00084	they say out wit old and in wit newbut im not letting go of good friends like uthank u for being an incredible frndtank u so much for affecting my life positively this year n the past yearsgod bless and be wit you allu r loved by me	negative
pcm_train_00085	n e w d e c a d e happy pals abuja nigeria	negative
pcm_train_00086	na you wey go tell mayor congratulations hin call me to laugh about congratulations on what	negative
pcm_train_00087	you are asking me how thing do you even know how i feel im madly in love with you i just hope you can see but na lie u go dey reason matter instead of you to come let me be you kids father	negative
pcm_train_00088	lol o dey out dey work kpa don enter account brother go sleep cover ya head with duvet	negative
pcm_train_00089	my boss is a definition of pepper them jezzzz you dont want to know what he just did for me mehn im so happy rn please help me to thank him im forever grateful dont worry fam una days go still soft	negative
pcm_train_00090	wow i just posted that pic saying no girl on your list can send you k now before i know it alert don enter vtu don land and one is angry with me cause i refuse to give her my acct details had to delete it im so emotional right now i feel loved i appreciate yall	negative
pcm_train_00091	my dear that one sef dey im taking myself for facials as my gift because that towel isnt touching my skin	negative
pcm_train_00092	i just dey chop dey drink good lord	negative
pcm_train_00093	if you love rap song go and listen to ft eriggaraw dey burst my head abeg every verse is raw even the fly gangsta album na raw unrefined	negative
pcm_train_00094	yeah i just checked and i see u make burger trust me im not a beggar but my love for dis picture is bigger baby i want u to love me deeper ️or do u know tina yeah dat girl been dey disturb be wella but i no dey reason her mattersweety joor shey mo ley av a taste i mean burger	negative
pcm_train_00095	coach shay you will enter and play the rest you just dey say calm down since and dem dey flog me	negative
pcm_train_00096	esther dey advise mercy make she no break up with ikeshe no no say na her coin cause fightmercy dey cry ooo inside life	negative
pcm_train_00097	my heart dey bleed the rest of the game better cut i don dey plan transfer lexus money	negative
pcm_train_00098	i still feel na cyndi win this thing jare seyi wey dey use side wake	negative
pcm_train_00099	if u like dey call everybody fool na urself u dey do we dey on our own oh no body ask u for money u just come scam us take our sleep	negative
pcm_train_00100	na person wey get woman fit chop that kind food	negative
pcm_train_00101	abeg help me beg maazi ighalo jude make e help my life o i dey suffer gan you too i no mind if you help me o gtbank adeyemi peter	negative
pcm_train_00102	i seriously do not knw the second minute hour day week month year i will win any of and give away dey don dey post notification since but twitter will only notify me when the give away has ended	negative
pcm_train_00103	terrorists re perpetrating evils in broad day light dey walk freely wit it dey wax stronger evryday coz dey av access social amenities and evn amunitionsand we d law abiding and sane citizens re d preys yet our govts stil stand against us are we cursed	negative
pcm_train_00104	lol makes sense resale value for here na shey first body ni shey ac dey work cos the mechanic sef no reliable	negative
pcm_train_00105	wetin i do una wey una massacre broke man account like this k for sms charges on account i barely use im done with yall	negative
pcm_train_00106	managing as u are like dis dis lifeits like some of us just escorted some to dis world	negative
pcm_train_00107	chai i made dis kind of post when i came on dis app o fine girl made similar post and in d same month she joined she already has more followers than me now dis is gender inequality	negative
pcm_train_00108	person don dupe me oo with your exact name for twitter oo na scam oo fake account for that matter bro i just waste money for nothing oo make una help me oo you report that account na scam check it out the idiot don even block me	negative
pcm_train_00109	bros me sef won be like u ooo but all d ones wey dey shoot shot to me no get sense	negative
pcm_train_00110	oyaaaaaaaaaaaaaaa akure is just dry no shayo nothing nothing my people for lagos dey drink shots like dis for mall i dey here dey dullll	negative
pcm_train_00111	i wonder the kind wisdom wey dey the fish head wey these people dey sell am k k for fish head‍️ isi azu	negative
pcm_train_00112	biko i really dont care what part of earth you come from so kindly keep the rubbish ethnic jargon aside hungry no dey do vetting back to me talking like i have sense which im fully aware i dont ask dey know me well	negative
pcm_train_00113	lmaoooooo this is what i first thought no let your anger deceive you oh before pesin smash your wife beat you up ontop and you no go fit run cuz you don lock door local man will now start begging	negative
pcm_train_00114	as hin fine reach hin noh fit toast even girls wey noh reach hin level his ego sef	negative
pcm_train_00115	thinking about where this life is actually driving me go school we don finish learn work we don learn still everything just hard like say person no dey alive	negative
pcm_train_00116	mehn fuck this shit i need my beards to grow how many years now wetin be this rubbish now oya who can help me id pay abeg need some beard growth shit im not even joking	negative
pcm_train_00117	dear e jo e help me i had naira left in my account una still come comot naira for sms chargekilode im heartbroken	negative
pcm_train_00118	lmao na k people just dey use dey play like this so this life na pot of beans oh	negative
pcm_train_00119	i don dey beg him no gree hear just help me beg him its just d type of his dog i want	negative
pcm_train_00120	do i blame you no i sha dey road dey come kd all do na die plus make mouth again and see what ill do to you wicked somebody	negative
pcm_train_00121	me to vic bro i got over pages do be swift in before am morrow also today na sunday you know how e fit be vic no be you again night go reach you go slam music run am till morning na your way na guy na you me well sha	negative
pcm_train_00122	na love dey sweet you dey go so aunty chai we go love o	negative
pcm_train_00123	ive seen his hand evident in my life jesus loves me like no other im amazed i can be loved this much love wey dey humble pesin	negative
pcm_train_00124	haaaaa abeg o you see say i no mention hin name i no want wahala that guy fit injure person on top wenger matter	negative
pcm_train_00125	lol the one in my house is already doing dey dey dey make i dey my dey i am a bad influence	negative
pcm_train_00126	guys today a girl fine girl wey fine reach meal on a hungry eve gave me her iphone pro to help her hold it till she finish drinking water i wanted to run but na for motor park we de i no i go chop beating sotey i go wish i die	negative
pcm_train_00127	i sha know that babe and clique get bad omen for that socialiga day na why we no get along i thank god for my life to think that i wanted to offer one a lift in my uber maybe na me for dey do thread	negative
pcm_train_00128	stop following me na guy since primary school you no gree leave me kilode you and moyo i no even sabi who worse pass moyo still follow me go nysc camp	negative
pcm_train_00129	a whole bole to add onions she dey do finger like say na salt she dey put for rice	negative
pcm_train_00130	joe sef na ode lover boy ‍️ hard guy hard guy small sweet words baba don melt	negative
pcm_train_00131	wetin de burst my head right now ehn how ole take scam all of us like this na only naija boys fbi de see bah chai	negative
pcm_train_00132	lol noooo send me money all ur flexing money i nvr chop ur naira before na woman dey always chop am and dem dey defraud u on top	negative
pcm_train_00133	na over sabi dey kill monkey cooking basmati rice then decided to spice it up a lil i added cinnamon ginger thyme curry and pepper now its looking like brown rice	negative
pcm_train_00134	the only thing wey pain me for that mi and vector diss na say e call am lanre like say na him born am	negative
pcm_train_00135	they still opened gofundme account for tacha una dey don mad for this country ohh i was legit born in a wrong country	negative
pcm_train_00136	as twitter say i no fit follow back peopleagain now wetin dem gain ️	negative
pcm_train_00137	i d all this trend but e funny oh una don lost me sef i d try find myself	negative
pcm_train_00138	some opay drivers and too much talk sha so unprofessional we dey express wey trailer dey pass you are telling me about your ex that got pregnant the same time with your wife whats my own na trailer is coming ma pami	negative
pcm_train_00139	someone should just send me money please this school thing everything na him we dey pay ehn im not doing again o	negative
pcm_train_00140	boss i was fasting that day about to break fast before kickoff but i was like make i go watch my match before i get myself better thing to chop bro na after days i chop can testify	negative
pcm_train_00141	turning this into a thread so i can bless your eyes more ps im the fine boy in the fourth frame you need a t r a v e l p h o t o g r a p h e r bleep my dm	negative
pcm_train_00142	na work wey i go like chop be this	negative
pcm_train_00143	just look at me making mouth on this day ‍️ ase i was just doing myself babe wen i dey toast don dey collect better body massage on a reg she calls it sensual massage and even promised to pay for a session for me am die o	negative
pcm_train_00144	my bro you know this e be like say you sef chop am wella that year o	negative
pcm_train_00145	if you be wetin you for do i sha pray the guy does the right thing which is making sure those girls are properly dealt with with the law shae una wan drag	negative
pcm_train_00146	this go hard ooo albino go throw e neighbor pikin up but e no come see the pikin catch again we still de settle	negative
pcm_train_00147	this matter wey dey ground hmm don tire me oo over rating na keep person like this now the lawyer wey for settle this case still no see e wig ooo oya another lawyer biko i don tire na the matter we dey try settle oo judges and lawyers wia una dey	negative
pcm_train_00148	i laugh at you shit wont even fly in the home of the free not to talk of this country no go kill yourself say you dey do freedom fighter oh na only mourn dem go mourn you las las	negative
pcm_train_00149	last months have been d best moments of arsenal fans life until dey came back same arsenal same stories one advice for arsenal fans make sure ur d last arsenal fan in ur lineage make sure ur not going to put ur kids through dis again in dis lyf i use god beg u	negative
pcm_train_00150	omo my gender don dey reason how deh go clap their grandmother mate ontop this ps matters	negative
pcm_train_00151	the fact that abdullahi is a clown and he refuses to believe is the matter we don dey settle since last week i dey court like this	negative
pcm_train_00152	why you dey do like this nah this guyyou wey dey chill with buhari	negative
pcm_train_00153	at least you have one me strechmark no dey booty no dey hope gaan no dey too	negative
pcm_train_00154	i once went to salon for haircut so the lad was showing me beard growth cream or so said its k then i asked if i should apply now how many days before e go come e say months me after spending k na months before e come e no serious ion buy	negative
pcm_train_00155	wtf why that guy dey go mark them like that them no dey vex make for ball oo damn that was dirty	negative
pcm_train_00156	come and see cat wey chop pass your own but why do you guys shade mangu people na youre not being fair to us fa	negative
pcm_train_00157	we dey settle matter this afternoon naso jamiu drop crates of egg come chook face for matter jamiu don ready to go now na only one egg and naira hin see who wan help us settle this one‍️	negative
pcm_train_00158	omokehinde na hin you still dey panla like this only you chop am theres god o	negative
pcm_train_00159	all of you on this app are hypocrites all of una dey shout but una no go shout just negodu how dem dey rape arsenal fc behind closed doors please coman console me	negative
pcm_train_00160	wait people regard slimcase as a nigerian musician so any town crier that takes his shouting career to the internet and becomes popular is now termed a musician sadly na we dey cause all the shame wey these kain people dey give us una too hype them	negative
pcm_train_00161	i wan change am for am buh na public place sha ah e pain me and my guys dey another table dey laugh	negative
pcm_train_00162	seeee the thing no gree fine again and na so so emabinu ma i dey hear	negative
pcm_train_00163	guy wetin be this you look like your holding in shit wey wan drop	negative
pcm_train_00164	nothing enter people wey dem say dem go reach rd round at odds no pass first round person wey never lose under minutes in like years na one punch finish am hot tears	negative
pcm_train_00165	just to let you know that if that your regularrandom knacks fall in love or wants you and you dont want e fit be your burial unto say if i cant have you nobody can have you my people say if fowl no chop e go scatter	negative
pcm_train_00166	na for where we go settle matter naim person slap me for eye i no see who slap me me sef con slap the short man wey dey my side i no know say na soldier we don dey drive go barracks like this	negative
pcm_train_00167	fearless don start again my dm dey open na abi wetin dey happen ah never see anything	negative
pcm_train_00168	but e no go better for arsenal sha only them spoilt my beautifully cooked odds something k for don dey ready to sit for my acct now	negative
pcm_train_00169	babe head wey neva reach $ worth of btc sef we don de try settle matter since	negative
pcm_train_00170	another one don happen o wife talk say him husband no sabi do well naso neighbor wife talk say na lie na we want to start to dey settle for world bank like this	negative
pcm_train_00171	e don happen again oh somebody use fake alert take pay bride price since morning inlaw never see alert what a wicked world nah d matter we dey settle since morning	negative
pcm_train_00172	asin ehn e de pain you go see them use cake de passoya give me small cake make i chop them go say na for house people like say i no get house	negative
pcm_train_00173	happy democracy say to those who preactce and still believe in true democracy for my country because last last all this old men dey use our future abeg na how many future person dey get democracy	negative
pcm_train_00174	na only me dey department na me be head of unit and team member like say dem carve department for only me work wan kill me	negative
pcm_train_00175	na people like this go dey spoil our integrity out there small time now ugandans no go dey rate us again	negative
pcm_train_00176	my guy posted his mom picture and his friend commented o boy u self know this yeye woman she no dey like condom at all she fit drain person na the matter we dey here dey settle since	negative
pcm_train_00177	stop to dey thief person tweet without giving him credit shame no dey dey u	negative
pcm_train_00178	as my best friend tell me to buy am airtime na so i wan send am bastardwhy always me na so i send am to my boss wey give me order to escalate customer issue to engineer team the problem be say i never know who and how to settle it as my boss no talk anything	negative
pcm_train_00179	happy new month sef don turn sour‍️ this year get as e be	negative
pcm_train_00180	i went through my phone this morningi found this video omosolaa e bi like say you don dey do am no bi today i missed all house matemore blessing	negative
pcm_train_00181	this one i have just bin blessing people for the kinda tweets they tweeting today is really freaking me outgod abeg use this tweet to bless me for all the blessings i have bin blessing others oooo	negative
pcm_train_00182	good lord in heaven spare me bad energy and bad vibes ya allah help me i gats to use others bad situation as my prayer point so wetin dey shele to dem no go shele to me	negative
pcm_train_00183	relationship wey they lead to marriageabeg where e dey pass cos i dey junction like this	negative
pcm_train_00184	make i no lie you my dear deep down i like you ooo but im scared that im too good for you your reputation precedes you i dont want a stain on mine as well im a good guy but are you a good lady	negative
pcm_train_00185	shey una later tune in to banger already and e never drop oh big thanks to starbukky and paj king ara+ ️ im so grateful for the love cc adebukolakolapo pajofficial	negative
pcm_train_00186	i played straight from my heart for this taxify driver when the song finished he said abeg you fit play that your straight from my belle song again abeg i really feel that song	negative
pcm_train_00187	omo ive been on steady data subscription since the beginning of covid i need to applaud myself and add wire wire to my nameko easy rara thank you oo week subscription na days e dey last	negative
pcm_train_00188	oga make you rest when u bin leave me e be like say u just wan go downstairs but see where u end	negative
pcm_train_00189	fuck up i need una to go question dis and ask grammy y de posted this coz if na wizzy b dis we no go hear word for fc hand am so disappointed in fc like dis is what u guys has been thinking all this while fuck wizzy didnt liked bb congrats at all but we didnt act	negative
pcm_train_00190	lowkey we suppose sue that grammy award winning singletwearing short man you sef listen to this fire na dear na on sight if i ever catch you on why do you like hoarding music like its indomieeeennnnnnn why	negative
pcm_train_00191	na wa oo what if him break the man back how wahala wan take finish with things like this	negative
pcm_train_00192	imagine this weather for two abeg where una dey see love now	negative
pcm_train_00193	so fuel nw na per liter bicycle no de use fuel yet wahala be like bicycle wetin de occur	negative
pcm_train_00194	this guy in particular came over and refused to leave was just talking here and there made everyone uncomfortable i say na help i b wan help na so i enta one chance ‍️	negative
pcm_train_00195	the peak of negligence in eksu health center is alarming worst set of workers ive met my own experience sef dey its better we know theres no health center than people dying anyhow we don dey rest ontop matter	negative
pcm_train_00196	adam n eve una fvck up sha just a reminder this panties de pain joor bra sef na issue	negative
pcm_train_00197	ah con dey see am like say na only me racksterly dey fuck up since on th oooooooo ayyi its unfair na una costomer care no dey even answer person thats that worst part ️️️️️️️️️️️️️️️️️️️️️	negative
pcm_train_00198	and i no fit wake her to clean her up else i don enter one chance please what can i give baby to reduce the smell from her poop biko before e restrain my air flow o	negative
pcm_train_00199	omoooo no reason am like that oooo e get some customers wey dey vex for me	negative
pcm_train_00200	i just remember say i never wash my visitors toilet since january god abeg oo the day dem go use me clean the seat i no go fit snap evidence	negative
pcm_train_00201	im broke im broke where una dey see this money its all fun and games until you are piggyvest broke	negative
pcm_train_00202	na una bad belle no make me find love for abuja	negative
pcm_train_00203	this days you no fit actually differentiate who actually get money and who dey broke true true all of una dey use una papa catch cruise	negative
pcm_train_00204	omo if by next week i start dropping motivational quotes abeg send me money cuz e don happen e get the kind balance wey i see for my account now e fit cause depression	negative
pcm_train_00205	the boys sef na superhero kinda series ‍️ na for yrs old na	negative
pcm_train_00206	please oooo dehkunle help me ask uncle walter wetin i do am wey make am block mecox me self i no understand wetin be the problem	negative
pcm_train_00207	person wey tell me say school na scam them don call am out as best graduating student	negative
pcm_train_00208	abeg if we win wetin go happen no make me vex oh	negative
pcm_train_00209	make the world just end if e wan end abi which wan is this hell lite we are currently experiencing in this part of the world like ds	negative
pcm_train_00210	abegi where una d see boy friend wey d assist una financially na cos i am tired of all this broke ass niggas that never appreciate the little you give and they will not give	negative
pcm_train_00211	na me this house wan kill with work any small thing tiles don dirty i will run away to go and get strength to clean you	negative
pcm_train_00212	the day you line trip off na that day nepa dey leave light for hours come make you dey feel like jonah of the adugbo	negative
pcm_train_00213	who sabi sabi no worry he no fit break god bless the heavenly ones mothers day	negative
pcm_train_00214	invite him to come over‍️ kiss him play with him hug him cook for him to eat wen he is about leaving look him in his eyes tell him how much u love him den give him k for transport hr later call him to know if hes home den surprise him with airtime	negative
pcm_train_00215	dis goes show d level of maturity n intelligent of feminine folks i respect una seriously d wife in question knows her husband n she is happy with d beautiful things in life dat comes with it which i respect her for it take a look at baba wife nah see glowing now gives a	negative
pcm_train_00216	mum was talking to someone about my business and she was hyping it so much that even me sef i come dey wonder whether na this same business i dey do so happy mothers day	negative
pcm_train_00217	debonairs gtgtgtgtgt dominos so na wetin una dey enjoy for this lagos	negative
pcm_train_00218	na arsenal dem dey do like dis go lingard make my fpl smile	negative
pcm_train_00219	see as my ticket just dey burst anyhow people con dey wonder why i no sure again sport betting is damn hard	negative
pcm_train_00220	e dey always taste like paper and e no dey get oil	negative
pcm_train_00221	i toast u and u say no u ask for money i say no or i didnt respondu con dey vex no b persin wey gain add mission dey pay sch fees ‍️‍️‍️ oya u self reason am nah	negative
pcm_train_00222	garri was before we dey complain just now this mama call am i wan cms to eko hotel na now takeaway plate wey be before na now meat for mama put don dey sell for i no fit drink coke again but we still dey country think am na you mf	negative
pcm_train_00223	life no cheap for akure again o abeg make una dey try pity us	negative
pcm_train_00224	so wetin i go use my data dey do as they don ban twitter unfortunate government	negative
pcm_train_00225	ok oh na like this oh like play like play until e reach everybody na this kan rough play i dey hate ohh some of the technology are made in china but u see all this deadly diseases is only made in china where exactly was the world wronged china	negative
pcm_train_00226	i dey find goal for arsenal game arsenal win another dey find for game wey dem never score goal	negative
pcm_train_00227	i dey hate when too much seeds dey my weed no be beans i dey pick na on top blaow again	negative
pcm_train_00228	seeeee ehn the small small ones on my face gan e dey affect my self esteem i sincerely feel for them i fit ment	negative
pcm_train_00229	i don go do blood test dem say na typhoid won kill me	negative
pcm_train_00230	tb joshua no fit die now na wetin dey happen self this cant be true o	negative
pcm_train_00231	i just dey do boss boss for one small boy for twitter until the boy said he was i wan mend am slap wey go cause headache fat cow back head be like elephant ponmo fucking years older	negative
pcm_train_00232	this picture funny die con be like say dem collect biscuit for hin hand	negative
pcm_train_00233	no dey disguise again i con dey think say na ugly pesin you be like me	negative
pcm_train_00234	na person wey get money dey cuddle nice one sapa	negative
pcm_train_00235	adda inna i checked una tickets ooo my chest dey pain be like say na aero	negative
pcm_train_00236	na because of people like una una zombie president use pursue twitter	negative
pcm_train_00237	ahhh u still wan fight people wey sleep their house sef dem dey go kill themabi u don quick forget lekki toll gate level u still get strength to fight	negative
pcm_train_00238	dfkm abeg na normal size books na i have like uncompleted ones sha they no sweet	negative
pcm_train_00239	shame is catching me to confess i once crushed on a big time oleeee she could do no wrong in my eyes until i heard d story how she was tearing race after bubu for airport tarmac after elections na den ma eyes open thank god buhari no be small spirit sef imagine	negative
pcm_train_00240	up on the wahala wey nigeria get now na concerned nigeria government one word for buhari and his cabinet like lai muhammad	negative
pcm_train_00241	it has been three month i havent had yam ofada rice vsop in fact good food sapa dey if you see me na cereals you dey see	negative
pcm_train_00242	olá u want to de fall my hand ooo abeg u with god name no de mention that guy name near me again na abeg na	negative
pcm_train_00243	abeg shey e dey pain u ni or e dey pinch u ooja werey lara je pele dear stop crying	negative
pcm_train_00244	people out here already getting second dose of vaccines and im still here hunting down first dose dem say dem no gems dey give again please epp anybody knows anywhere in lagos i can get the first dose of covid vaccine please kindly refer	negative
pcm_train_00245	but this guy is fine sha e con sabi snap again	negative
